longitu,latitud,full_id,osm_id,osm_type,addr_postc,amenity,name,website,brand,brand_wiki,brand_wi_1,cuisine,ele,tourism,addr_house,addr_stree,email,phone,is_in,layer,addr_city,internet_a,opening_ho,smoking,outdoor_se,descriptio,contact_ph,contact_we,delivery,descript_1,branch,addr_count,facebook,internet_1,payment_am,payment_ca,payment_ma,payment_vi,payment__1,takeaway,phone_AR,internet_2,architect,wikidata,wikipedia,wheelchair,capacity,food,name_en,name_es,is_in_stat,alt_name,old_name,diet_veget,service_mu,service_tv,ref_vatin,contact_fa,addr_full,bar,brewery,reservatio,indoor,level,room,addr_provi,int_name,microbrewe,addr_hou_1,name_ja,name_ko,name_zh,addr_state,building,payment_cr,payment_de,operator,address,contact_em,opening__1,disused_na,is_in_city,image,phone_mobi,wifi,shop,is_in_coun,is_in_co_1,stars,toilets_ac,entrance,toilets_wh,designatio,cuisine_sp,payment_bi,network,source_pos,style,descript_2,instagram,twitter,diet_vegan,ref,start_date,payment__2,table_serv,name_etymo,access,source_nam,takeover,postal_cod,disused__1,source_add,opening__2,addr_place,was_cuisin,was_stars,drive_in,organic,short_name,payment__3,covered,contact_in,source_dat,noname,drive_thro,fuel,amenity_1,payment__4,todo,diet_glute,addr_neigh,opening_da,addr_flats,self_servi,addr_floor,barrier,highway,building_l,name_fr,natural,email_1,biergarten,diet_raw,name_de,diet_lacto,sport,pho,verify,restaurant,disused,toilets,payment_cl,payment_co,payment_na,fast_food,addr2_stre,craft,name_pt,abandoned_,amenity_19,name_1976,payment_el,payment__5,contact_tw,children,cinema_3D,contact__1,opening__3,addr_unit,rooms,payment_no,name_he,fax,payment_di,changing_t,addr_numbe,name_cy,whatsapp,breakfast,cuisine_de,internet_3,seats,internet_4,diet_meat,air_condit,drink_wine,drink_beer,diet_ovo_v,oven,changing_1,cuisine__1,official_n,contact_mo,door,delivery_p,drink_sake,contact_wh,diet_organ,drink_cock
,,n4098367286,"4098367286",node,,restaurant,El Palenque,,,,,argentinian,,,"287",Arístides Villanueva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,n4621509489,"4621509489",node,,restaurant,Pizzaiolo,,,,,"argentinian;pizza",,,,,,,,,,wlan,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pizzaiolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,n2626105906,"2626105906",node,,restaurant,Parrilla,,,,,regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,n5213305653,"5213305653",node,,restaurant,La Almacén,,,,,regional,,,,Peregrina Cantos,,,,,Bardas Blancas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,n5200943506,"5200943506",node,"5560",restaurant,Farrinaqua,,,,,"regional;pizza",,,"94",Pueyrredón,,,,,Tunuyán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,n7879842816,"7879842816",node,,restaurant,Pan y Oliva,,,,,regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,n5200947523,"5200947523",node,,restaurant,El Bodegon de Uco,,,,,"regional;-",,,,Avenida Carlos Pellegrini,,,,,Tunuyán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,n6828354293,"6828354293",node,,restaurant,Saavedra Resto Bar,,,,,argentinian,,,km941,Ruta Nacional 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,n4693771974,"4693771974",node,,restaurant,,,,,,barbecue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,n3297081071,"3297081071",node,,restaurant,San Cayetano,,,,,regional,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
